á	a u
steiney	s t e i n e i
steinfríður	s t e i n f r i ð ʏ r
steingerður	s t e i n c ɛ r ð ʏ r
steingervingar	s t e i n c ɛ r v i ŋ k a r
steingrái	s t e i n k r a u ɪ
steingrímsfjarðarheiði	s t e i n k r i m s f j a r ð a r h e i ð ɪ
steingrímsstöð	s t e i n k r i m s s t œ ð
steinhellu	s t e i n h ɛ t l ʏ
steinhólaskála	s t e i n h o u l a s k a u l a
steinholti	s t e i n h ɔ l̥ t ɪ
steinholtsvegi	s t e i n h ɔ l̥ t s v e i j ɪ
steinhólum	s t e i n h o u l ʏ m
steini	s t e i n ɪ
steininn	s t e i n ɪ n
steinkell	s t e i n cʰ ɛ t l
steinkirkju	s t e i n cʰ ɪ r̥ c ʏ
steinkoti	s t e i n kʰ ɔ t ɪ
steinlá	s t e i n l a u
steinlaug	s t e i n l ø y ɣ
steinmann	s t e i n m a n
steinmar	s t e i n m a r
steinmóður	s t e i n m o u ð ʏ r
steinn	s t e i t n
steinnesi	s t e i t n ɛ s ɪ
steinnýjarstöðum	s t e i t n i j a r̥ s t œ ð ʏ m
steinólfur	s t e i n o u l v ʏ r
steinröður	s t e i n r œ ð ʏ r
steinrós	s t e i n r o u s
steinrunnins	s t e i n r ʏ n ɪ n s
steinsholti	s t e i n s h ɔ l̥ t ɪ
steinskoti	s t e i n s k ɔ t ɪ
steinsstaðahverfi	s t e i n s s t a ð a xʷ ɛ r v ɪ
steinsstöðum	s t e i n s s t œ ð ʏ m
steinstöðum	s t e i n s t œ ð ʏ m
steintúni	s t e i n tʰ u n ɪ
steinum	s t e i n ʏ m
steinvarður	s t e i n v a r ð ʏ r
steinvör	s t e i n v œ r
steinþór	s t e i n θ o u r
steinþóra	s t e i n θ o u r a
stekk	s t ɛ h k
stekká	s t ɛ h k a u
stekkarhvammi	s t ɛ h k a r xʷ a m ɪ
stekkholti	s t ɛ h k h ɔ l̥ t ɪ
stekkjadali	s t ɛ h c a t a l ɪ
stekkjadölum	s t ɛ h c a t œ l ʏ m
stekkjarbakka	s t ɛ h c a r p a h k a
stekkjarbergi	s t ɛ h c a r p ɛ r c ɪ
stekkjarflöt	s t ɛ h c a r̥ f l œ t
stekkjarflötum	s t ɛ h c a r̥ f l œ t ʏ m
stekkjargrund	s t ɛ h c a r k r ʏ n t
stekkjarholti	s t ɛ h c a r h ɔ l̥ t ɪ
stekkjarhvammi	s t ɛ h c a r xʷ a m ɪ
stekkjarkinn	s t ɛ h c a r̥ c ɪ n
stekkjarseli	s t ɛ h c a r̥ s ɛ l ɪ
stekkjartúni	s t ɛ h c a r̥ tʰ u n ɪ
stekkjarvöllum	s t ɛ h c a r v œ t l ʏ m
stekksá	s t ɛ h k s a u
stekkum	s t ɛ h k ʏ m
stela	s t ɛ l a
stella	s t ɛ t l a
stelpa	s t ɛ l̥ p a
stelpu	s t ɛ l̥ p ʏ
stelpunum	s t ɛ l̥ p ʏ n ʏ m
stelpur	s t ɛ l̥ p ʏ r
stelpurnar	s t ɛ l̥ p ʏ r t n a r
stelur	s t ɛ l ʏ r
stemmdir	s t ɛ m t ɪ r
stemning	s t ɛ m n i ŋ k
stemningin	s t ɛ m n i ɲ c ɪ n
stemningu	s t ɛ m n i ŋ k ʏ
stend	s t ɛ n t
stendur	s t ɛ n t ʏ r
stenst	s t ɛ n s t
stera	s t ɛ r a
sterk	s t ɛ r̥ k
sterka	s t ɛ r̥ k a
sterkari	s t ɛ r̥ k a r ɪ
sterkasta	s t ɛ r̥ k a s t a
sterkastan	s t ɛ r̥ k a s t a n
sterkra	s t ɛ r̥ k r a
sterkri	s t ɛ r̥ k r ɪ
sterkt	s t ɛ r x t
sterkum	s t ɛ r̥ k ʏ m
sterkur	s t ɛ r̥ k ʏ r
sterkust	s t ɛ r̥ k ʏ s t
sterkustu	s t ɛ r̥ k ʏ s t ʏ
stéttinni	s t j ɛ h t ɪ n ɪ
steypan	s t e i pʰ a n
steypiregni	s t e i pʰ ɪ r ɛ k n ɪ
steypireyðar	s t e i pʰ ɪ r e i ð a r
steypireyður	s t e i pʰ ɪ r e i ð ʏ r
steypubíl	s t e i pʰ ʏ p i l
steypubílar	s t e i pʰ ʏ p i l a r
steyttu	s t e i h t ʏ
stíflan	s t i p l a n
stíflisdal	s t i p l ɪ s t a l
stíflu	s t i p l ʏ
stífnaði	s t i p n a ð ɪ
stíft	s t i f t
stig	s t ɪ ɣ
stíg	s t i ɣ
stiga	s t ɪ ɣ a
stigagangi	s t ɪ ɣ a k a u ŋ c ɪ
stigahærri	s t ɪ ɣ a h a i r ɪ
stigahæstu	s t ɪ ɣ a h a i s t ʏ
stigahæstur	s t ɪ ɣ a h a i s t ʏ r
stigahlíð	s t ɪ ɣ a l̥ i ð
stígamót	s t i ɣ a m o u t
stigapallinum	s t ɪ ɣ a p a t l ɪ n ʏ m
stígheiður	s t i ɣ h e i ð ʏ r
stigi	s t ɪ i j ɪ
stigið	s t ɪ i j ɪ ð
stigin	s t ɪ i j ɪ n
stíginn	s t i ɣ ɪ n
stígrún	s t i ɣ r u n
stigs	s t ɪ x s
stigu	s t ɪ ɣ ʏ
stigum	s t ɪ ɣ ʏ m
stígur	s t i ɣ ʏ r
stígvélin	s t i ɣ v j ɛ l ɪ n
stiklan	s t ɪ kʰ l a n
stiklum	s t ɪ kʰ l ʏ m
stikur	s t ɪ kʰ ʏ r
stíl	s t i l
stílaðir	s t i l a ð ɪ r
stíll	s t i t l
stilltu	s t ɪ t l tʰ ʏ
stillu	s t ɪ t l ʏ
stimpilstöng	s t ɪ m̥ p ɪ l s t ø y ŋ k
stimplar	s t ɪ m̥ p l a r
stinga	s t i ŋ k a
stinn	s t ɪ n
stirnir	s t ɪ r t n ɪ r
stjái	s t j a u ɪ
stjarna	s t j a r t n a
stjarnan	s t j a r t n a n
stjarnanna	s t j a r t n a n a
stjarnfræðilegur	s t j a r t n f r a i ð ɪ l ɛ ɣ ʏ r
stjórar	s t j o u r a r
stjórinn	s t j o u r ɪ n
stjórn	s t j o u r t n
stjórna	s t j o u r t n a
stjórnar	s t j o u r t n a r
stjórnarandstaðan	s t j o u r t n a r a n t s t a ð a n
stjórnarandstæðingar	s t j o u r t n a r a n t s t a i ð i ŋ k a r
stjórnarandstöðu	s t j o u r t n a r a n t s t œ ð ʏ
stjórnarandstöðuflokka	s t j o u r t n a r a n t s t œ ð ʏ f l ɔ h k a
stjórnarandstöðuflokkur	s t j o u r t n a r a n t s t œ ð ʏ f l ɔ h k ʏ r
stjórnarandstöðuna	s t j o u r t n a r a n t s t œ ð ʏ n a
stjórnarandstöðunnar	s t j o u r t n a r a n t s t œ ð ʏ n a r
stjórnarandstöðunni	s t j o u r t n a r a n t s t œ ð ʏ n ɪ
stjórnarbyggingar	s t j o u r t n a r p ɪ c i ŋ k a r
stjórnarbyggingu	s t j o u r t n a r p ɪ c i ŋ k ʏ
stjórnarbylting	s t j o u r t n a r p ɪ l̥ t i ŋ k
stjórnarfari	s t j o u r t n a r f a r ɪ
stjórnarflokkarnir	s t j o u r t n a r f l ɔ h k a r t n ɪ r
stjórnarflokkur	s t j o u r t n a r f l ɔ h k ʏ r
stjórnarformaður	s t j o u r t n a r f ɔ r m a ð ʏ r
stjórnarformaðurinn	s t j o u r t n a r f ɔ r m ɛ n i t n
stjórnarfrumvarpa	s t j o u r t n a r f r ʏ m v a r̥ p a
stjórnarfyrirkomulag	s t j o u r t n a r f ɪ r ɪ r kʰ ɔ m ʏ l a ɣ
stjórnarinnar	s t j o u r t n a r ɪ n a r
stjórnarkreppu	s t j o u r t n a r̥ k r ɛ h p ʏ
stjórnarliðinu	s t j o u r t n a r l ɪ ð ɪ n ʏ
stjórnarmaður	s t j o u r t n a r m a ð ʏ r
stjórnarmenn	s t j o u r t n a r m ɛ n
stjórnarmönnum	s t j o u r t n a r m œ n ʏ m
stjórnarmyndun	s t j o u r t n a r m ɪ n t ʏ n
stjórnarnefnda	s t j o u r t n a r t n ɛ m t a
stjórnarráðið	s t j o u r t n a r r a u ð ɪ ð
stjórnarráðinu	s t j o u r t n a r r a u ð ɪ n ʏ
stjórnarráðsbygginguna	s t j o u r t n a r r a u ð s p ɪ c i ŋ k ʏ n a
stjórnarráðshúsið	s t j o u r t n a r r a u ð s h u s ɪ ð
stjórnarráðshúsinu	s t j o u r t n a r r a u ð s h u s ɪ n ʏ
stjórnarsamstarfið	s t j o u r t n a r s a m s t a r v ɪ ð
stjórnarskipta	s t j o u r t n a r s k ɪ f t a
stjórnarskrá	s t j o u r t n a r s k r a u
stjórnarskráin	s t j o u r t n a r s k r a u ɪ n
stjórnarskrána	s t j o u r t n a r s k r a u n a
stjórnarskránni	s t j o u r t n a r s k r a u n ɪ
stjórnarskrár	s t j o u r t n a r s k r a u r
stjórnarskrárnefnd	s t j o u r t n a r s k r a u t n ɛ m t
stjórnarskrárvarinn	s t j o u r t n a r s k r a u r v a r ɪ n
stjórnarþátttöku	s t j o u r t n a r θ a u h t tʰ œ k ʏ
stjórnast	s t j o u r t n a s t
stjórnbúnað	s t j o u r t n p u n a ð
stjórnenda	s t j o u r t n ɛ n t a
stjórnendum	s t j o u r t n ɛ n t ʏ m
stjórnendur	s t j o u r t n ɛ n t ʏ r
stjórnin	s t j o u r t n ɪ n
stjórnina	s t j o u r t n ɪ n a
stjórninni	s t j o u r t n ɪ n ɪ
stjórnir	s t j o u r t n ɪ r
stjórnkerfinu	s t j o u r t n cʰ ɛ r v ɪ n ʏ
stjórnkerfis	s t j o u r t n cʰ ɛ r v ɪ s
stjórnklefa	s t j o u r t n kʰ l ɛ v a
stjórnlagaþing	s t j o u r t n l a ɣ a θ i ŋ k
stjórnlaus	s t j o u r t n l ø y s
stjórnleysi	s t j o u r t n l e i s ɪ
stjórnmálaflokk	s t j o u r t n m a u l a f l ɔ h k
stjórnmálaflokkanna	s t j o u r t n m a u l a f l ɔ h k a n a
stjórnmálaflokkum	s t j o u r t n m a u l a f l ɔ h k ʏ m
stjórnmálaforystu	s t j o u r t n m a u l a f ɔ r ɪ s t ʏ
stjórnmálakerfi	s t j o u r t n m a u l a cʰ ɛ r v ɪ
stjórnmálaleiðtogar	s t j o u r t n m a u l a l e i ð tʰ ɔ ɣ a r
stjórnmálalífið	s t j o u r t n m a u l a l i v ɪ ð
stjórnmálamaður	s t j o u r t n m a u l a m a ð ʏ r
stjórnmálamann	s t j o u r t n m a u l a m a n
stjórnmálamanna	s t j o u r t n m a u l a m a n a
stjórnmálamenn	s t j o u r t n m a u l a m ɛ n
stjórnmálasamtök	s t j o u r t n m a u l a s a m tʰ œ k
stjórnmálaskoðunum	s t j o u r t n m a u l a s k ɔ ð ʏ n ʏ m
stjórnmálastarfið	s t j o u r t n m a u l a s t a r v ɪ ð
stjórnmálum	s t j o u r t n m a u l ʏ m
stjórnskipan	s t j o u r t n s c ɪ p a n
stjórnstöð	s t j o u r t n s t œ ð
stjórnsýsluhúsinu	s t j o u r t n s i s t l ʏ h u s ɪ n ʏ
stjórnsýslukæru	s t j o u r t n s i s t l ʏ cʰ a i r ʏ
stjórnuðum	s t j o u r t n ʏ ð ʏ m
stjörnufræði	s t j œ r t n ʏ f r a i ð ɪ
stjörnugróf	s t j œ r t n ʏ k r o u v
stjörnum	s t j œ r t n ʏ m
stjörnumenn	s t j œ r t n ʏ m ɛ n
stjórnun	s t j o u r t n ʏ n
stjörnuna	s t j œ r t n ʏ n a
stjörnunnar	s t j œ r t n ʏ n a r
stjörnunni	s t j œ r t n ʏ n ɪ
stjörnur	s t j œ r t n ʏ r
stjörnurnar	s t j œ r t n ʏ r t n a r
stjörnusteinum	s t j œ r t n ʏ s t e i n ʏ m
stjörnustríð	s t j œ r t n ʏ s t r i ð
stjórnvalda	s t j o u r t n v a l t a
stjórnvöld	s t j o u r t n v œ l t
stjórnvöldum	s t j o u r t n v œ l t ʏ m
stjórnvölinn	s t j o u r t n v œ l ɪ n
stoð	s t ɔ ð
stóð	s t o u ð
stöð	s t œ ð
stoða	s t ɔ ð a
stödd	s t œ t
stöddu	s t œ t ʏ
stöðli	s t œ ð l ɪ
stöðlum	s t œ ð l ʏ m
stöðnunar	s t œ ð n ʏ n a r
stöðnunina	s t œ ð n ʏ n ɪ n a
stoðsendingar	s t ɔ ð s ɛ n t i ŋ k a r
stóðst	s t o u ð s t
stóðu	s t o u ð ʏ
stöðu	s t œ ð ʏ
stöðug	s t œ ð ʏ ɣ
stöðugar	s t œ ð ʏ ɣ a r
stöðugildum	s t œ ð ʏ j ɪ l t ʏ m
stöðugleika	s t œ ð ʏ ɣ l e i k a
stöðugleiki	s t œ ð ʏ ɣ l e i c ɪ
stöðugrar	s t œ ð ʏ ɣ r a r
stöðugt	s t œ ð ʏ ɣ t
stöðulfelli	s t œ ð ʏ l f ɛ t l ɪ
stöðulsholti	s t œ ð ʏ l s h ɔ l̥ t ɪ
stóðum	s t o u ð ʏ m
stöðum	s t œ ð ʏ m
stöðuna	s t œ ð ʏ n a
stöður	s t œ ð ʏ r
stóðust	s t o u ð ʏ s t
stöðuvatni	s t œ ð ʏ v a h t n ɪ
stöðva	s t œ ð v a
stöðvað	s t œ ð v a ð
stöðvaði	s t œ ð v a ð ɪ
stöðvaðir	s t œ ð v a ð ɪ r
stöðvaður	s t œ ð v a ð ʏ r
stöðvar	s t œ ð v a r
stöðvarkoti	s t œ ð v a r̥ k ɔ t ɪ
stöðvast	s t œ ð v a s t
stöðvuð	s t œ ð v ʏ ð
stöðvuðu	s t œ ð v ʏ ð ʏ
stöðvunar	s t œ ð v ʏ n a r
stöðvunarmerkjum	s t œ ð v ʏ n a r m ɛ r̥ c ʏ m
stofan	s t ɔ v a n
stofna	s t ɔ p n a
stofnað	s t ɔ p n a ð
stofnanir	s t ɔ p n a n ɪ r
stofnar	s t ɔ p n a r
stofnendum	s t ɔ p n ɛ n t ʏ m
stofninum	s t ɔ p n ɪ n ʏ m
stofnuð	s t ɔ p n ʏ ð
stofnun	s t ɔ p n ʏ n
stofnunarinnar	s t ɔ p n ʏ n a r ɪ n a r
stofnunum	s t ɔ p n ʏ n ʏ m
stofu	s t ɔ v ʏ
stofunni	s t ɔ v ʏ n ɪ
stofur	s t ɔ v ʏ r
stofustáss	s t ɔ v ʏ s t a u s
stökk	s t œ h k
stokkað	s t ɔ h k a ð
stokkahlöðum	s t ɔ h k a l̥ œ ð ʏ m
stokkalæk	s t ɔ h k a l a i k
stokkhólmi	s t ɔ h k h o u l m ɪ
stokkhólmur	s t ɔ h k h o u l m ʏ r
stökki	s t œ h c ɪ
stökkið	s t œ h k ɪ ð
stokkseyrarseli	s t ɔ h k s e i r a r̥ s ɛ l ɪ
stokksnesi	s t ɔ h k s n ɛ s ɪ
stökkti	s t œ h k t ɪ
stökkum	s t œ h k ʏ m
stöku	s t œ k ʏ
stól	s t o u l
stólar	s t o u l a r
stöldruðu	s t œ l t r ʏ ð ʏ
stolið	s t ɔ l ɪ ð
stolin	s t ɔ l ɪ n
stolinna	s t ɔ l ɪ n a
stolna	s t ɔ l n a
stolnum	s t ɔ l n ʏ m
stolt	s t ɔ l̥ t
stolti	s t ɔ l̥ t ɪ
stöndum	s t œ n t ʏ m
stöng	s t ø y ŋ k
stopp	s t ɔ h p
stoppað	s t ɔ h p a ð
stoppaðir	s t ɔ h p a ð ɪ r
stöppuðu	s t œ h p ʏ ð ʏ
stöppuna	s t œ h p ʏ n a
stór	s t o u r
stóra	s t o u r a
stórabóli	s t o u r a p o u l ɪ
stóragerði	s t o u r a c ɛ r ð ɪ
stórahóli	s t o u r a h o u l ɪ
stóraholti	s t o u r a h ɔ l̥ t ɪ
stórakri	s t o u r a kʰ r ɪ
stórakrika	s t o u r a kʰ r ɪ k a
stóran	s t o u r a n
stórási	s t o u r a u s ɪ
stórateigi	s t o u r a tʰ e i j ɪ
stórauka	s t o u r ø y k a
stóraukin	s t o u r ø y c ɪ n
stóraukinn	s t o u r ø y c ɪ n
stóraukist	s t o u r ø y c ɪ s t
stórbrotið	s t o u r p r ɔ t ɪ ð
stórbrotinn	s t o u r p r ɔ t ɪ n
stórbruna	s t o u r p r ʏ n a
stórbrunans	s t o u r p r ʏ n a n s
stórbrunanum	s t o u r p r ʏ n a n ʏ m
stórefla	s t o u r ɛ p l a
störf	s t œ r v
stórfé	s t o u r̥ f j ɛ
stórfellda	s t o u r̥ f ɛ t l t a
stórfelldri	s t o u r̥ f ɛ t l t r ɪ
störfin	s t œ r̥ f ɪ n
stórfjölgar	s t o u r̥ f j œ l k a r
störfum	s t œ r̥ f ʏ m
stórfurðulegar	s t o u r̥ f ʏ r ð ʏ l ɛ ɣ a r
stórfurðulegt	s t o u r̥ f ʏ r ð ʏ l ɛ ɣ t
stórhættulegar	s t o u r h a i h t ʏ l ɛ ɣ a r
stórhöfða	s t o u r h œ v ð a
stórhóli	s t o u r h o u l ɪ
stórholti	s t o u r h ɔ l̥ t ɪ
stórhríð	s t o u r r̥ i ð
stóri	s t o u r ɪ
stóriðja	s t o u r ɪ ð j a
stóriðju	s t o u r ɪ ð j ʏ
stórir	s t o u r ɪ r
stork	s t ɔ r̥ k
storkað	s t ɔ r̥ k a ð
stórkostleg	s t o u r̥ k ɔ s t l ɛ ɣ
stórkostlegir	s t o u r̥ k ɔ s t l e i j ɪ r
stórkostlegt	s t o u r̥ k ɔ s t l ɛ ɣ t
stórkostlegur	s t o u r̥ k ɔ s t l ɛ ɣ ʏ r
stórlaxar	s t o u r l a x s a r
stórlega	s t o u r l ɛ ɣ a
stórleik	s t o u r l e i k
stórleikur	s t o u r l e i k ʏ r
stórlið	s t o u r l ɪ ð
storm	s t ɔ r m
stórmál	s t o u r m a u l
stormi	s t ɔ r m ɪ
stórmót	s t o u r m o u t
stórmótanna	s t o u r m o u tʰ a n a
storms	s t ɔ r m s
stormsveitarmenn	s t ɔ r m s v e i t a r m ɛ n
stormur	s t ɔ r m ʏ r
stormurinn	s t ɔ r m ʏ r ɪ n
stórólfshvoli	s t o u r o u l v s xʷ ɔ l ɪ
stórólfsvelli	s t o u r o u l v s v ɛ t l ɪ
stórólfsvöllum	s t o u r o u l v s v œ t l ʏ m
stórólfur	s t o u r o u l v ʏ r
stórsegl	s t o u r̥ s ɛ k l
stórsekt	s t o u r̥ s ɛ x t
stórsigrar	s t o u r̥ s ɪ ɣ r a r
stórsigri	s t o u r̥ s ɪ ɣ r ɪ
stórsigur	s t o u r̥ s ɪ ɣ ʏ r
stórskaðað	s t o u r̥ s k a ð a ð
stórskaðaðir	s t o u r̥ s k a ð a ð ɪ r
stórskemmdur	s t o u r̥ s c ɛ m t ʏ r
stórskorið	s t o u r̥ s k ɔ r ɪ ð
stórslasaðist	s t o u r̥ s t l a s a ð ɪ s t
stórslys	s t o u r̥ s t l ɪ s
stórslysi	s t o u r̥ s t l ɪ s ɪ
stórsvigi	s t o u r̥ s v ɪ i j ɪ
stórt	s t o u r̥ t
stórtækur	s t o u r̥ t a i k ʏ r
stórtap	s t o u r tʰ a p
stóru	s t o u r ʏ
stóruborg	s t o u r ʏ p ɔ r k
stórubrekku	s t o u r ʏ p r ɛ h k ʏ
stórum	s t o u r ʏ m
stórundarlegt	s t o u r ʏ n t a r l ɛ ɣ t
stórutjörnum	s t o u r ʏ t j œ r t n ʏ m
stórutungu	s t o u r ʏ tʰ u ŋ k ʏ
stórvandamál	s t o u r v a n t a m a u l
stórvelda	s t o u r v ɛ l t a
stórveldin	s t o u r v ɛ l t ɪ n
stórveldis	s t o u r v ɛ l t ɪ s
stórvirkar	s t o u r v ɪ r̥ k a r
stórþakkir	s t o u r̥ θ a h c ɪ r
strætisvagn	s t r a i t ɪ s v a k n
strætisvagni	s t r a i t ɪ s v a k n ɪ
strætó	s t r a i t o u
strætóstopp	s t r a i t o u s t ɔ h p
strák	s t r a u k
strákana	s t r a u k a n a
strákanna	s t r a u k a n a
strákar	s t r a u k a r
strákarnir	s t r a u k a r t n ɪ r
strákum	s t r a u k ʏ m
strákunum	s t r a u k ʏ n ʏ m
strákur	s t r a u k ʏ r
strand	s t r a n t
stranda	s t r a n t a
strandaði	s t r a n t a ð ɪ
strandaðir	s t r a n t a ð ɪ r
strandaglópar	s t r a n t a ɣ l o u p a r
strandarhöfða	s t r a n t a r h œ v ð a
strandarvegi	s t r a n t a r v e i j ɪ
strandaseli	s t r a n t a s ɛ l ɪ
strandbæ	s t r a n t p a i
strandgæslan	s t r a n t k a i s t l a n
strandgötu	s t r a n t k œ t ʏ
strandinu	s t r a n t ɪ n ʏ
strandlengjuna	s t r a n t l e i ɲ c ʏ n a
strandríki	s t r a n t r i c ɪ
strandríkin	s t r a n t r i c ɪ n
strandseli	s t r a n t s ɛ l ɪ
strandseljum	s t r a n t s ɛ l j ʏ m
strandsiglingar	s t r a n t s ɪ k l i ŋ k a r
strandsins	s t r a n t s ɪ n s
strandstað	s t r a n t s t a ð
strandsvæði	s t r a n t s v a i ð ɪ
strandvegi	s t r a n t v e i j ɪ
strandveiða	s t r a n t v e i ð a
strandveiðar	s t r a n t v e i ð a r
strandveiðum	s t r a n t v e i ð ʏ m
strangtrúuðu	s t r a u ŋ k t r u ʏ ð ʏ
strangur	s t r a u ŋ k ʏ r
straujunar	s t r ø y j ʏ n a r
strauk	s t r ø y k
straum	s t r œ y m
straumar	s t r œ y m a r
straumfirði	s t r œ y m f ɪ r ð ɪ
straumi	s t r œ y m ɪ
straumnesi	s t r œ y m n ɛ s ɪ
straums	s t r œ y m s
straumsölum	s t r œ y m s œ l ʏ m
straumum	s t r œ y m ʏ m
straumur	s t r œ y m ʏ r
straumurinn	s t r œ y m ʏ r̥ ɪ n
strax	s t r a x s
strengi	s t r e i ɲ c ɪ
streyma	s t r e i m a
streymdu	s t r e i m t ʏ
streymir	s t r e i m ɪ r
stríð	s t r i ð
stríða	s t r i ð a
stríddi	s t r i t ɪ
stríði	s t r i ð ɪ
stríðið	s t r i ð ɪ ð
stríðinu	s t r i ð ɪ n ʏ
stríðs	s t r i ð s
stríðsástandi	s t r i ð s a u s t a n t ɪ
stríðsbarna	s t r i ð s p a t n a
stríðsglæpamenn	s t r i ð s k l a i p a m ɛ n
stríðsglæpi	s t r i ð s k l a i p ɪ
stríðsgróðinn	s t r i ð s k r o u ð ɪ n
stríðsins	s t r i ð s ɪ n s
stríðslokum	s t r i ð s t l ɔ k ʏ m
stríðsmynd	s t r i ð s m ɪ n t
stríðsöxina	s t r i ð s œ x s ɪ n a
stríðsreksturs	s t r i ð s r ɛ k s t ʏ r̥ s
stríðstímum	s t r i ð s tʰ i m ʏ m
strigaskóinn	s t r ɪ ɣ a s k o u ɪ n
strigaskóm	s t r ɪ ɣ a s k o u m
strik	s t r ɪ k
strikamerki	s t r ɪ k a m ɛ r̥ c ɪ
striki	s t r ɪ c ɪ
strikinu	s t r ɪ k ɪ n ʏ
strjúgsstöðum	s t r j u s t œ ð ʏ m
strókar	s t r o u k a r
strokið	s t r ɔ c ɪ ð
strokkhólsvegi	s t r ɔ h k h o u l s v e i j ɪ
strokki	s t r ɔ h c ɪ
stróknum	s t r o u h k n ʏ m
strokum	s t r ɔ k ʏ m
stromphúfan	s t r ɔ m̥ p h u v a n
strompi	s t r ɔ m̥ p ɪ
strompinn	s t r ɔ m̥ p ɪ n
strompinum	s t r ɔ m̥ p ɪ n ʏ m
strompunum	s t r ɔ m̥ p ʏ n ʏ m
strompur	s t r ɔ m̥ p ʏ r
strönd	s t r œ n t
ströndina	s t r œ n t ɪ n a
ströndinni	s t r œ n t ɪ n ɪ
ströndum	s t r œ n t ʏ m
ströng	s t r ø y ŋ k
ströngu	s t r ø y ŋ k ʏ
struku	s t r ʏ kʰ ʏ
strýkst	s t r i k s t
strýkur	s t r i k ʏ r
strympu	s t r ɪ m̥ p ʏ
strýtuseli	s t r i t ʏ s ɛ l ɪ
stuð	s t ʏ ð
studdi	s t ʏ t ɪ
stúdent	s t u t ɛ n̥ t
stúdenta	s t u t ɛ n̥ t a
stúdentar	s t u t ɛ n̥ t a r
stúdentaráð	s t u t ɛ n̥ t a r a u ð
stúdentinn	s t u t ɛ n̥ t ɪ n
stúdíóinu	s t u t i o u ɪ n ʏ
stuðla	s t ʏ ð l a
stuðlabergi	s t ʏ ð l a p ɛ r c ɪ
stuðlabergs	s t ʏ ð l a p ɛ r k s
stuðlahálsi	s t ʏ ð l a h a u l s ɪ
stuðlaseli	s t ʏ ð l a s ɛ l ɪ
stuðlum	s t ʏ ð l ʏ m
stuðning	s t ʏ ð n i ŋ k
stuðningi	s t ʏ ð n i ɲ c ɪ
stuðninginn	s t ʏ ð n i ɲ c ɪ n
stuðnings	s t ʏ ð n i ŋ k s
stuðningshóp	s t ʏ ð n i ŋ k s h o u p
stuðningshópsins	s t ʏ ð n i ŋ k s h o u p s ɪ n s
stuðningshópur	s t ʏ ð n i ŋ k s h o u p ʏ r
stuðningsmenn	s t ʏ ð n i ŋ k s m ɛ n
stuðningsmennina	s t ʏ ð n i ŋ k s m ɛ n ɪ n a
stuðningsmennirnir	s t ʏ ð n i ŋ k s m ɛ n ɪ r t n ɪ r
stuðningur	s t ʏ ð n i ŋ k ʏ r
stuðst	s t ʏ ð s t
stúfholti	s t u v h ɔ l̥ t ɪ
stúfholtshjáleigu	s t u v h ɔ l̥ t s ç a u l e i ɣ ʏ
stukku	s t ʏ h k ʏ
stúkuna	s t u k ʏ n a
stúkunni	s t u k ʏ n ɪ
stuld	s t ʏ l t
stúlka	s t u l̥ k a
stúlkan	s t u l̥ k a n
stúlkna	s t u l̥ k n a
stúlknakórar	s t u l̥ k n a kʰ o u r a r
stúlku	s t u l̥ k ʏ
stúlkunum	s t u l̥ k ʏ n ʏ m
stúlkur	s t u l̥ k ʏ r
stúlkurnar	s t u l̥ k ʏ r t n a r
stund	s t ʏ n t
stunda	s t ʏ n t a
stundaði	s t ʏ n t a ð ɪ
stundar	s t ʏ n t a r
stundarbrjálæði	s t ʏ n t a r p r j a u l a i ð ɪ
stundarfjórðunginn	s t ʏ n t a r f j o u r ð u ŋ c ɪ n
stundina	s t ʏ n t ɪ n a
stundinni	s t ʏ n t ɪ n ɪ
stundu	s t ʏ n t ʏ
stunduð	s t ʏ n t ʏ ð
stunduðu	s t ʏ n t ʏ ð ʏ
stundum	s t ʏ n t ʏ m
stungin	s t u ŋ k ɪ n
stunginn	s t u ŋ k ɪ n
stungu	s t u ŋ k ʏ
sturla	s t ʏ r t l a
sturlun	s t ʏ r t l ʏ n
sturlureykjum	s t ʏ r t l ʏ r e i c ʏ m
sturta	s t ʏ r̥ t a
sturtu	s t ʏ r̥ t ʏ
stútar	s t u t a r
stútfullt	s t u t f ʏ t l̥ t
stutt	s t ʏ h t
stutta	s t ʏ h t a
stuttan	s t ʏ h t a n
stuttmynd	s t ʏ h t m ɪ n t
stuttmyndum	s t ʏ h t m ɪ n t ʏ m
stuttri	s t ʏ h t r ɪ
stuttu	s t ʏ h t ʏ
stuttur	s t ʏ h t ʏ r
styðja	s t ɪ ð j a
styðjast	s t ɪ ð j a s t
styðst	s t ɪ ð s t
styður	s t ɪ ð ʏ r
styggur	s t ɪ k ʏ r
stykki	s t ɪ h c ɪ
styr	s t ɪ r
stýra	s t i r a
styrbjörn	s t ɪ r p j œ r t n
stýri	s t i r ɪ
stýrið	s t i r ɪ ð
stýrimann	s t i r ɪ m a n
stýrinu	s t i r ɪ n ʏ
stýrir	s t i r ɪ r
styrk	s t ɪ r̥ k
styrkár	s t ɪ r̥ k a u r
styrki	s t ɪ r̥ k ɪ
styrkingu	s t ɪ r̥ c i ŋ k ʏ
styrkir	s t ɪ r̥ c ɪ r
styrkist	s t ɪ r̥ c ɪ s t
styrkja	s t ɪ r̥ c a
styrkjanna	s t ɪ r̥ c a n a
